2018,Vital statistics of Japan,,,,,,,,,,,,,,,,,,,
 Volume 1 Divorces,Table 10.2 Trends in divorce rates (per 1，000 population) by each prefecture:Japan,,,,,,,,,,,,,,,,,,,
,1935,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018
Total,0.7,1.02,1.01,0.84,0.74,0.79,0.93,1.07,1.22,1.39,1.28,1.6,2.1,2.08,1.99,1.77,1.81,1.73,1.7,1.68
01 Hokkaido,0.63,0.79,0.96,0.97,0.93,1.13,1.43,1.65,1.86,2.12,1.73,1.98,2.51,2.42,2.3,2.04,2.09,1.97,1.92,1.9
02 Aomori,0.94,1.01,1.09,0.96,0.89,1.04,1.24,1.4,1.52,1.65,1.35,1.64,2.1,2.29,1.96,1.67,1.74,1.68,1.64,1.61
03 Iwate,0.78,1.2,0.99,0.76,0.67,0.67,0.74,0.85,0.91,1.05,0.94,1.12,1.62,1.82,1.76,1.45,1.53,1.49,1.49,1.49
04 Miyagi,0.59,0.81,0.81,0.69,0.65,0.7,0.82,0.94,1.04,1.21,1.12,1.38,1.91,2.05,2,1.65,1.72,1.64,1.62,1.59
05 Akita,1.05,1.69,1.24,0.87,0.81,0.78,0.83,0.96,1.05,1.16,1.02,1.22,1.62,1.63,1.66,1.4,1.5,1.38,1.38,1.27
06 Yamagata,0.79,1.15,1.08,0.74,0.62,0.53,0.66,0.71,0.79,0.93,0.87,1.06,1.58,1.69,1.62,1.48,1.35,1.37,1.33,1.37
07 Fukushima,0.66,1.09,0.96,0.76,0.69,0.66,0.76,0.91,1.03,1.19,1.04,1.36,1.86,2.1,1.96,1.64,1.7,1.73,1.71,1.67
08 Ibaraki,0.47,0.63,0.64,0.51,0.49,0.46,0.63,0.81,0.91,1.14,1.06,1.45,1.97,1.99,1.94,1.72,1.81,1.68,1.65,1.68
09 Tochigi,0.6,0.75,0.84,0.67,0.54,0.6,0.73,0.9,1.07,1.13,1.13,1.44,1.97,2.03,1.97,1.7,1.74,1.77,1.67,1.61
10 Gunma,0.59,0.78,0.86,0.67,0.58,0.63,0.75,0.97,1.07,1.1,1.11,1.46,1.99,1.98,1.96,1.71,1.79,1.68,1.65,1.56
11 Saitama,0.55,0.73,0.74,0.59,0.49,0.6,0.77,0.95,1.09,1.28,1.22,1.65,2.09,2.08,2.02,1.75,1.77,1.74,1.7,1.63
12 Chiba,0.61,0.73,0.77,0.61,0.54,0.61,0.77,0.95,1.15,1.33,1.28,1.68,2.16,2.1,2.02,1.74,1.78,1.73,1.69,1.67
13 Tokyo,0.57,0.93,1.06,0.92,0.8,0.9,1.09,1.25,1.39,1.52,1.53,1.87,2.28,2.19,2.05,1.81,1.84,1.78,1.74,1.7
14 Kanagawa,0.56,0.87,0.91,0.9,0.79,0.88,1.01,1.18,1.29,1.44,1.4,1.79,2.24,2.13,2,1.78,1.81,1.74,1.71,1.66
15 Niigata,0.97,1.1,1,0.69,0.61,0.51,0.62,0.7,0.8,0.93,0.81,1.07,1.47,1.49,1.46,1.38,1.39,1.31,1.29,1.26
16 Toyama,0.88,1.54,1.11,0.86,0.75,0.7,0.8,0.91,0.92,0.95,0.97,1.09,1.55,1.58,1.45,1.34,1.4,1.3,1.34,1.28
17 Ishikawa,1.01,1.33,1.13,0.85,0.77,0.78,0.96,1.05,1.14,1.19,1.04,1.22,1.73,1.63,1.57,1.49,1.49,1.45,1.36,1.3
18 Fukui,0.98,1.29,1.1,0.91,0.78,0.66,0.79,0.94,0.99,1.09,0.95,1.09,1.62,1.72,1.55,1.46,1.54,1.45,1.41,1.42
19 Yamanashi,0.52,0.77,0.7,0.54,0.51,0.56,0.69,0.84,0.98,1.04,1,1.27,1.87,2,1.99,1.69,1.75,1.67,1.69,1.6
20 Nagano,0.51,0.76,0.67,0.53,0.45,0.46,0.59,0.71,0.82,0.95,0.94,1.19,1.71,1.83,1.71,1.57,1.63,1.54,1.57,1.5
21 Gifu,0.74,0.87,0.87,0.7,0.63,0.6,0.74,0.84,0.89,1.02,0.97,1.2,1.67,1.72,1.66,1.58,1.56,1.54,1.51,1.47
22 Shizuoka,0.73,1,0.92,0.74,0.66,0.71,0.88,1.07,1.22,1.28,1.21,1.55,1.99,2.01,1.96,1.76,1.79,1.72,1.66,1.65
23 Aichi,0.68,0.78,0.9,0.73,0.63,0.69,0.81,0.92,1.06,1.2,1.21,1.54,2,1.97,1.97,1.75,1.79,1.7,1.7,1.73
24 Mie,0.61,0.88,0.86,0.68,0.56,0.62,0.71,0.76,0.95,1.08,1.08,1.38,1.94,2.02,1.9,1.73,1.75,1.67,1.58,1.67
25 Shiga,0.58,0.85,0.69,0.56,0.48,0.5,0.58,0.63,0.81,0.87,0.92,1.25,1.69,1.82,1.78,1.6,1.67,1.58,1.59,1.48
26 Kyoto,0.58,1.01,1.04,0.84,0.67,0.72,0.85,0.98,1.16,1.27,1.19,1.57,2.08,1.97,1.91,1.74,1.73,1.65,1.61,1.59
27 Osaka,0.57,1.15,1.19,1,0.84,0.95,1.09,1.25,1.46,1.66,1.58,2,2.63,2.43,2.39,2.06,2.08,1.99,1.96,1.88
28 Hyogo,0.63,1.06,1.03,0.9,0.79,0.81,0.93,1.02,1.13,1.29,1.24,1.45,2.18,2.07,1.95,1.76,1.79,1.71,1.68,1.66
29 Nara,0.67,1.05,1.06,0.85,0.68,0.69,0.79,0.86,0.94,1.16,1.1,1.47,1.92,1.84,1.87,1.63,1.7,1.62,1.54,1.54
30 Wakayama,0.73,1.13,1.02,0.91,0.81,0.86,1,1.04,1.31,1.4,1.37,1.66,2.26,2.12,2.08,1.98,1.97,1.87,1.83,1.81
31 Tottori,0.88,1.22,1.16,0.94,0.79,0.76,0.77,0.98,0.96,1.21,1.1,1.32,1.95,1.98,1.95,1.8,1.74,1.66,1.6,1.64
32 Shimane,0.92,1.32,0.97,0.73,0.63,0.53,0.6,0.65,0.74,0.93,0.83,1.06,1.45,1.52,1.56,1.4,1.48,1.39,1.53,1.34
33 Okayama,0.7,1.01,1.02,0.9,0.79,0.77,0.85,1,1.09,1.3,1.13,1.47,2,1.92,1.88,1.68,1.73,1.71,1.72,1.64
34 Hiroshima,0.96,1.33,1.22,1.14,0.93,0.9,0.94,1.05,1.16,1.23,1.2,1.53,2,1.97,1.94,1.73,1.76,1.68,1.65,1.65
35 Yamaguchi,0.85,1.23,1.17,1.07,0.98,0.96,1.16,1.16,1.24,1.4,1.25,1.52,1.98,1.92,1.76,1.62,1.74,1.56,1.6,1.6
36 Tokushima,0.78,1,0.98,0.81,0.68,0.65,0.79,1.03,1.24,1.22,1.12,1.4,1.95,1.96,1.85,1.67,1.61,1.59,1.58,1.61
37 Kagawa,0.9,1.23,1.14,0.95,0.78,0.79,0.93,1.03,1.22,1.22,1.2,1.47,1.99,2.02,1.95,1.76,1.82,1.67,1.76,1.72
38 Ehime,0.95,1.2,1.25,1.01,0.85,0.9,1.02,1.21,1.37,1.47,1.29,1.52,2.08,2.08,1.97,1.73,1.74,1.64,1.71,1.66
39 Kochi,0.95,1.28,1.29,1.25,1.18,1.2,1.36,1.45,1.53,1.59,1.52,1.87,2.29,2.25,1.92,1.86,1.87,1.71,1.79,1.75
40 Fukuoka,0.7,1.23,1.25,1.12,0.99,1.04,1.22,1.33,1.58,1.88,1.61,1.85,2.42,2.31,2.18,1.98,1.99,1.93,1.9,1.91
41 Saga,0.72,1.12,1,0.83,0.71,0.74,0.79,0.9,0.99,1.24,1.13,1.39,1.87,2.04,1.82,1.59,1.63,1.67,1.57,1.57
42 Nagasaki,0.75,1.25,1.28,1.01,0.96,0.84,0.96,1.1,1.24,1.44,1.23,1.53,1.92,2.02,1.77,1.68,1.68,1.6,1.55,1.54
43 Kumamoto,0.73,1.02,1.01,0.75,0.72,0.71,0.84,0.86,1.04,1.38,1.18,1.56,2,2.03,2,1.74,1.85,1.65,1.63,1.71
44 Oita,0.83,1.08,1.02,0.88,0.74,0.71,0.95,1.02,1.29,1.43,1.28,1.6,1.93,1.98,1.95,1.72,1.78,1.74,1.7,1.71
45 Miyazaki,0.67,1.08,1.09,0.92,0.81,0.83,1.01,1.21,1.42,1.67,1.38,1.65,2.32,2.31,2.13,2.07,2.1,2.02,1.97,1.89
46 Kagoshima,0.68,1.17,0.93,0.81,0.72,0.68,0.77,0.95,1.17,1.41,1.22,1.46,1.95,2.05,1.96,1.82,1.88,1.77,1.71,1.71
47 Okinawa,1.36,　　　...,　　　...,　　　...,　　　...,　　　...,　　　...,1.29,1.85,2.2,1.9,2.22,2.74,2.71,2.58,2.53,2.53,2.59,2.44,2.53
